id	pathogen_nm	url	image	taxonomy	binomial_nm	synonyms	status
512		315	315	253	194	152	162
		62%	62%	49%	38%	30%	32%
1	28 spotted beetle	https://en.wikipedia.org/wiki/Henosepilachna_vigintioctopunctata	https://upload.wikimedia.org/wikipedia/commons/c/c8/Epilachna_vigintioctopunctata_01.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Coccinellidae,Genus:Henosepilachna	Henosepilachna vigintioctopunctata	Coccinella 28-punctata,Coccinella sparsa,Epilachna gradaria,Epilachna territa,Epilachna vigintioctopunctata,Epilachna sparsa	
2	African armyworm	https://en.wikipedia.org/wiki/African_armyworm	https://upload.wikimedia.org/wikipedia/commons/c/c0/African_armyworm%2C_crop.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Noctuidae,Genus:Spodoptera	Spodoptera exempta	Agrotis exempta,Prodenia bipars,Prodenia ingloria,Laphygma exempta	
3	Alfalfa mosaic virus	https://en.wikipedia.org/wiki/Alfalfa_mosaic_virus	https://upload.wikimedia.org/wikipedia/commons/d/de/5573455-PPT.jpg	Kingdom:Orthornavirae,Phylum:Kitrinoviricota,Class:Alsuviricetes,Order:Martellivirales,Family:Bromoviridae,Genus:Alfamovirus			 020: Synonym (taxonomy) row not found>
4	Alternaria	https://en.wikipedia.org/wiki/Alternaria	https://upload.wikimedia.org/wikipedia/commons/7/7b/Alternariosis_3.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:AlternariaNees			 020: Synonym (taxonomy) row not found>
5	Alternaria fruit rot						 page not found 010: table not supplied
6	Alternaria leaf blight	https://en.wikipedia.org/wiki/Alternaria_alternata	https://upload.wikimedia.org/wikipedia/commons/f/fa/Alternaria_spore_chain_160X.png	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria alternata	Alternaria fasciculata,Alternaria rugosa,Alternaria tenuis,Macrosporium fasciculatum,Torula alternata	
7	Alternaria leaf spot	https://en.wikipedia.org/wiki/Alternaria_radicina	https://upload.wikimedia.org/wikipedia/commons/0/0d/Alternaria_radicina_on_Daucus_carota.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria radicina	Macrosporium daucinum,Pseudostemphylium radicinum,Stemphylium radicinum,Thyrospora radicina	
8	Anatrachyntis	https://en.wikipedia.org/wiki/Anatrachyntis_simplex	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Cosmopterigidae,Genus:Anatrachyntis	Anatrachyntis simplex	Pyroderces simplex,Amneris flexiloquella,Stagmatophora gossypiella,Anatrachyntis hemizopha,Anatrachyntis repandatella	
