pathogen_nm	pathogenType_nm	subtype	latin name	alt_latin_names	alt_common_names	ph_common_names	crops	taxonomy	notes	urls	biological_cure
1158											
Ants	Insect						Banana,Corn,Okra,Pineapple	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hymenoptera,Infraorder:Aculeata,Superfamily:Formicoidea,Latreille, 1809[2],Family:Formicidae			
28 spotted beetle	Insect		Henosepilachna vigintioctopunctata		Hadda beetle		Tomato,Eggplant, cucurbits, brassicas, legumes, papaya 	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Coccinellidae,Genus:Henosepilachna,Species:H .vigintioctopunctata		http://www.plantdoctor.eastwestseed.com/insect-pests/28-spotted-beetle	
African armyworm	Insect	Moth	Spodoptera exempta				Corn,Sorghum,Rice,Millet,Grasses,Wheat Oats 				
Alfalfa mosaic virus	Virus		Alfalfa mosaic virus				Carrot	(unranked):Virus,Realm:Riboviria,Kingdom:Orthornavirae,Phylum:Kitrinoviricota,Class:Alsuviricetes,Order:Martellivirales,Family:Bromoviridae,Genus:Alfamovirus			
Alternaria	Fungus		Alternaria				Broccoli,Cabbage,Carrot,Cauliflower,Cotton,Cruciferae,Cutflower,Melon,Tobacco,Tomato,Watermelon	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria			
Alternaria fruit rot	Fungus		Alternaria alternata				Almonds,Beans,Cabbage,Carrots,Chinese cabbage,Corn,Cucumber,Eggplant,Pepper,Pistachios,Tomato	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Family:Coccinellidae,Genus:Henosepilachna,Species:H .vigintioctopunctata			
Alternaria leaf blight	Fungus		Alternaria dauci				Carrot				
Alternaria leaf spot	Fungus		Alternaria radicina		Alternaria leaf blight,Carrot leaf spot,Carrot leaf blight,Black Leaf spot,Black leaf spot of cabbage		Carrots,Brassicas,Cabbage,Cauliflower,Kale,Brussel sprouts,Broccoli.	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria,species:{radicina, dauci,alternata,brassicicola}	Many species, 2 common names: Alternaria leaf blight,Carrot leaf spot,Carrot leaf blight		
Anatrachyntis	Insect	Moth	Anatrachyntis simplex				Palms,Pineapple,Okra	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Cosmopterigidae,SubFamily:Cosmopteriginae,Genus:Anatrachyntis			
Annual broadleaf weeds	Broadleaf Weed		Angiosperms				Banana,Cacao,Citrus,Coconut,Coffee,Corn,Mango,Non-crop areas,Oil palm,Onion,Pineapple,Potato,Rice,Rubber,Sorghum,Soyabeans,Sugarcane,Tomato,Vegetables	Kingdom:Plantae,Clade:Tracheophytes,Clade:Spermatophytes,Clade:Angiosperms			
